year,category,film,name,status,gender
1935,FILM EDITING,David Copperfield,Robert J. Kern,nominated,male
1935,FILM EDITING,The Informer,George Hively,nominated,male
1935,FILM EDITING,The Lives of a Bengal Lancer,Ellsworth Hoagland,nominated,male
1935,SHORT FILM,How to Sleep,Jack Chertok,winner,male
1935,WRITING,The Lives of a Bengal Lancer,Achmed Abdullah,nominated,male
1935,WRITING,Captain Blood,Casey Robinson,nominated,male
1935,WRITING,The Lives of a Bengal Lancer,Waldemar Young,nominated,male
1935,CINEMATOGRAPHY,Barbary Coast,Ray June,nominated,male
1935,CINEMATOGRAPHY,The Crusades,Victor Milner,nominated,male
1935,CINEMATOGRAPHY,Les Miserables,Gregg Toland,nominated,male
1935,CINEMATOGRAPHY,A Midsummer Night's Dream,Hal Mohr,winner,male
1935,DIRECTING,Captain Blood,Michael Curtiz,nominated,male
1935,DIRECTING,The Informer,John Ford,winner,male
1935,WRITING,The Lives of a Bengal Lancer,John L. Balderston,nominated,male
1935,SHORT FILM,Audioscopiks,Pete Smith,nominated,male
1935,WRITING,G-Men,Gregory Rogers,nominated,male
1935,WRITING,The Gay Deception,Don Hartman,nominated,male
1935,WRITING,The Gay Deception,Stephen Avery,nominated,male
1935,WRITING,The Scoundrel,Ben Hecht,winner,male
1935,WRITING,The Scoundrel,Charles MacArthur,winner,male
1935,WRITING,The Informer,Dudley Nichols,winner,male
1935,WRITING,Broadway Melody of 1936,Moss Hart,nominated,male
1935,FILM EDITING,A Midsummer Night's Dream,Ralph Dawson,winner,male
1935,SHORT FILM,"Oh, My Nerves",Jules White,nominated,male
1935,FILM EDITING,Les Miserables,Barbara McLean,nominated,female
1935,FILM EDITING,Mutiny on the Bounty,Margaret Booth,nominated,female
1936,WRITING,The Story of Louis Pasteur,Pierre Collings,winner,male
1936,DIRECTING,San Francisco,W. S. Van Dyke,nominated,male
1936,FILM EDITING,Come and Get It,Edward Curtiss,nominated,male
1936,FILM EDITING,The Great Ziegfeld,William S. Gray,nominated,male
1936,FILM EDITING,A Tale of Two Cities,Conrad A. Nervig,nominated,male
1936,FILM EDITING,Theodora Goes Wild,Otto Meyer,nominated,male
1936,SHORT FILM,La Fiesta de Santa Barbara,Lewis Lewyn,nominated,male
1936,SHORT FILM,Bored of Education,Hal Roach,winner,male
1936,SHORT FILM,"Wanted, a Master",Pete Smith,nominated,male
1936,WRITING,Fury,Norman Krasna,nominated,male
1936,WRITING,The Great Ziegfeld,William Anthony McGuire,nominated,male
1936,WRITING,San Francisco,Robert Hopkins,nominated,male
1936,WRITING,The Story of Louis Pasteur,Pierre Collings,winner,male
1936,WRITING,The Story of Louis Pasteur,Sheridan Gibney,winner,male
1936,WRITING,After the Thin Man,Albert Hackett,nominated,male
1936,WRITING,Dodsworth,Sidney Howard,nominated,male
1936,WRITING,Mr. Deeds Goes to Town,Robert Riskin,nominated,male
1936,WRITING,My Man Godfrey,Eric Hatch,nominated,male
1936,WRITING,My Man Godfrey,Morris Ryskind,nominated,male
1936,WRITING,The Story of Louis Pasteur,Sheridan Gibney,winner,male
1936,DIRECTING,My Man Godfrey,Gregory La Cava,nominated,male
1936,DIRECTING,Mr. Deeds Goes to Town,Frank Capra,winner,male
1936,FILM EDITING,Anthony Adverse,Ralph Dawson,winner,male
1936,DIRECTING,Dodsworth,William Wyler,nominated,male
1936,CINEMATOGRAPHY,The Gorgeous Hussy,George Folsey,nominated,male
